"authorId","fullName","surname","givenName","documentCount","university","city","country","topSubjectArea","orcid"
"58965406600","Swati Sah","Sah","Swati",24,"Sharda University","Greater Noida","India","Computer Science (all)",""
"6508371228","Dalip K. Kakru","Kakru","Dalip K.",24,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-3791-3674"
"60420129900","Deepak Kumar Singh","Singh","Deepak Kumar",24,"Sharda University","Greater Noida","India","Computer Science (all)",""
"36182945600","Maheshwar Pathak","Pathak","Maheshwar",24,"Sharda University","Greater Noida","India","Mathematics (all)","0000-0002-1244-806X"
"57205467163","Honey Mittal","Mittal","Honey",24,"Jamia Millia Islamia","New Delhi","India","Materials Science (all)","0000-0001-8019-7621"
"57207798384","Abhay Tiwari","Tiwari","Abhay",24,"Sharda University","Greater Noida","India","Medicine (all)","0000-0001-9408-7917"
"56185373800","Neha Maurya","Maurya","Neha",23,"Sharda University","Greater Noida","India","Medicine (all)",""
"59729101400","Himanshu Sharma","Sharma","Himanshu",23,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-2856-7194"
"55697802700","Vidyadevi Chandavarkar","Chandavarkar","Vidyadevi",23,"Sharda University","Greater Noida","India","Medicine (all)","0000-0003-4765-5023"
"15839656200","Azra Shauqia Hasan","Hasan","Azra Shauqia",23,"Sharda University","Greater Noida","India","Medicine (all)",""
"56136384700","Shashank Sharma","Sharma","Shashank",23,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0001-9319-1325"
"55560475400","Ajay Shriram Kushwaha","Kushwaha","Ajay Shriram",22,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0003-0392-5546"
"57212585229","Rohit Kumar","Kumar","Rohit",22,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-2278-6978"
"59437939500","Satish Kumar Verma","Verma","Satish Kumar",22,"Sharda University","Greater Noida","India","Energy (all)","0000-0002-7949-4650"
"57217832454","Kanika Singla","Singla","Kanika",22,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57210419810","Nidhi Gupta","Gupta","Nidhi",22,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-9073-9973"
"36828850500","Rajeev Kumar Thapar","Thapar","Rajeev Kumar",22,"Sharda University","Greater Noida","India","Medicine (all)",""
"57197069829","Neha Bhardwaj","Bhardwaj","Neha",22,"Sharda University","Greater Noida","India","Mathematics (all)","0000-0002-5618-1563"
"57699284200","Tushar Mehrotra","Mehrotra","Tushar",22,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-6601-2811"
"57219221418","Himanshu Payal","Payal","Himanshu",22,"Sharda University","Greater Noida","India","Materials Science (all)",""
"25632260200","Lincy Joseph","Joseph","Lincy",22,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)",""
"59927224200","Vatsal Jain","Jain","Vatsal",22,"Sharda University","Greater Noida","India","Chemistry (all)",""
"9134236400","Ravi Kale","Kale","Ravi",22,"Sharda University","Greater Noida","India","Medicine (all)",""
"56803582400","Nirbhay Kumar Kashyap","Kashyap","Nirbhay Kumar",21,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57667963000","Ashutosh Kumar Pandey","Pandey","Ashutosh Kumar",21,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)","0000-0003-2113-035X"
"57205202304","Aashima Bangia","Bangia","Aashima",21,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0003-0803-1752"
"57193135846","Pooja Kalra","Kalra","Pooja",21,"Sharda University","Greater Noida","India","Materials Science (all)",""
"57216339419","Ekampreet Singh","Singh","Ekampreet",21,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-7976-1608"
"59676467500","Saquib Ahmed","Ahmed","Saquib",21,"Sharda University","Greater Noida","India","Computer Science (all)","0009-0008-1891-6910"
